Agency,Service Description,Vision,FTE,Liz Categories,Liz Skills,Agency Category,Liz Countries,Liz Cities,Projects Won,Total Projects Won,SS Take,Category Specialism,Industry Experience,Briefs Received,Total Briefs Received,Pitch Rating,Agency Score,Female
2CV,The award-winning global market research agency,,50 or more,Data/ Insight & Research,"Segmentation,Qual,Quant,Data Analysis & Insights",Research & Insight,"UK,USA,Singapore","London,Los Angeles,San Francisco,Singapore",Vehicle Connected Services - Personas,1,,"Qual & Quant,Tech & Entertainment,B2B,Trends,Consumers",,"Electrification Qual Research,Vehicle Connected Services - Personas,Brand positioning,JLR Research: Better By Design Insights Project",4,8.0,NaN,
5 Ways to Innovate,We help corporates unlock the capability to reinvent themselves.,,1-9,,,"Strategic Design,Leadership Development & Coaching",,,,0,,,,,0,NaN,NaN,
44 Digital,Digital problem solvers. Helping you communicate with customers or colleagues.,,10-19,"Advertising/Brand/Creative,Employer Brand & Experience","Internal Communications,Digital Campaign Development,Copywriting,Video Production",Specialism,UK,Warwickshire,,0,,"Internal Comms,Intranet Sites,Publications",,,0,NaN,NaN,
2050London,Changing the future with postively bonkers ideas,Where the positively bonkers ideas change the future fast.,10-19,"Advertising/Brand/Creative,Media/PR & Events,Experience & Design","Brand Strategy,Creative Production,Advertising,Graphic Design,Brand Design,Digital Campaign Development,Copywriting,Video Production,Social Media (Strategy/Content/Management)",Advertising,UK,London,,0,Big Creative Brand Thinkers,"ATL Campaigns,BTL Campaigns","Health,Retail,FMCG,Tech,Advertising,Food,Non-Profit,Travel","Group Life Content,""Retail Brand Positioning
""",2,9.0,NaN,
Above+Beyond,"We are an independent integrated creative agency, built for the audience-age",We go above and beyond to help ambitious brands grow through the power of audience-age creativity,20-49,"Advertising/Brand/Creative,Media/PR & Events","Digital Performance Marketing,Advertising,Brand Strategy,Creative Production,Social Media (Strategy/Content/Management)","Advertising,Brand.",UK,London,,0,The best at optimising through the funnel activation,"ATL Campaigns,BTL Campaigns,Brand Strategy,Brand Design.","FMCG,Entertainment,Retail,Technology",,0,NaN,NaN,
Acwire,Amazon Full-Service Agency,,1-9,Tech & Development,eCommerce & Marketplacing,Ecommerce,UK,London,,0,,"Amazon,Citrus Advertising",,,0,NaN,NaN,
"ADAMAPP, LTD.",Trailblazing tech products without the hiccups,,50 or more,Tech & Development,"Mobile App Development,Software Development,Web Development,Artificial Intelligence",Web & Mobile Design,"UK,Czech Republic,Canada","London,Prague,Toronto",,0,,"UX & UI,Software Development,Architecture",,,0,NaN,NaN,
Airview Productions,Full In-House Video & Photography Services,,1-9,Advertising/Brand/Creative,Video Production,"Video Production,Advertising",UK,London,,0,,"Photography,Video Production,Corporate Videos",,,0,NaN,NaN,
Akcelo,We build brands for  the experience era.,,50 or more,"Advertising/Brand/Creative,Media/PR & Events,Customer & Business Strategy,Tech & Development,Experience & Design","Customer Strategy,Experience Strategy,Customer Experience Design,Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Development,Copywriting,Video Prouction,Social & Influencer Marketing,Experiential Marketing,UX/UI Design,Brand Design,Graphic Design,Mobile App Development,Web Development,CRM Implementation,Martech Consulting",Innovation & Strategy,"Australia,Canada","Sydney,Melbourne,Vancouver",,0,,"New Experience Design,New Tech Strategy",,"Front End Web Design ,""Website design & build
""",2,NaN,NaN,
AlignAlytics,"Value through Data - customer behaviour, precision pricing and competitor insight",,20-49,Data/ Insight & Research,"Segmentation,Future Trends,Data Analysis & Insights",Web & Mobile Design,"USA,UK,Australia","Berwyn,London,Perth",,0,,"Software Development,CRM Execution,Data Visualisation",,Store 8 - Data analytics,1,NaN,NaN,
Allied Global Marketing,"Full-service integrated marketing agency working with the world's largest entertainment, consumer, and lifestyle brands.",,50 or more,"Advertising/Brand/Creative,Media/PR & Events","Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Development,Copywriting,Video Production,Media Strategy/Planning,Media Buying,Graphic Design,Digital Performance Marketing,Social & Influencer Marketing,PR",Innovation & Strategy,"USA,UK,Canada,China","Seattle,San Francisco,Los Angeles,San Diego,Las Vegas,Scottsdale,Denver,Irving,Minneapolis,St Louis,Chicago,Atlanta,Winter Garden,Fort Lauderdale,Troy,Cleveland,Washington,Philadelphia,New York,Cambridge,London,Toronto,Beijing",,0,,"Proposition Design,Digital Marketing",,,0,NaN,NaN,
Ampel,Podcast creative and production agency,,1-9,"Advertising/Brand/Creative,Production Services",Creative Production,Creative & Production,Australia,"Sydney,Melbourne",,0,,,,"Acuity Magazine Podcast Series,Acuity Magazine CA Audio Content Editing",2,NaN,NaN,
Anchora,Adobe Experience Cloud and Adobe Experience Platform Specialists,We’re an INDEPENDENT and SPECIALIZED Adobe Data and Content Driven MarTech and Customer Experience Management business who are dedicated to mutual success by supporting our clients as end to end digital partner.,1-9,"Data/ Insight & Research,Tech & Development","Growth & Innovation Strategy,Product Strategy,Experience Strategy",Software Development,Australia,Melbourne,,0,Martech software development agency focused on Adobe suite,"Adobe,Digital Marketing","Automotive,Insurance,Tech,Telecoms,Tourism,Airlines,Financial Services,News,Utilities,Education",,0,NaN,NaN,
Apadmi,Groundbreaking digital products that keep our customers moving forward,"Technology that moves hearts, minds and metrics",50 or more,"Tech & Development,Customer & Business Strategy","Growth & Innovation Strategy,Product Strategy,Experience Strategy",Innovation & Strategy,"UK,Netherlands","Manchester,London,Edinburgh,Utrecht",,0,,"New Tech Strategy,New Experience Design","Leisure,Telecoms,Retail,Financial Services,Healthcare,Sport",Pre-retirement App,1,NaN,NaN,
Apex1,"Brand, Marketing & Website Development",Being Incredible From Start To Finish,5,"Advertising/Brand/Creative,Experience & Design,Tech & Development","Brand Strategy,UX/UI design,Creative Production",Brand.,UK,London,"Wordpress site fix,Simply Waste website hosting and maintenance ",2,Boutique digital agency that can cover all bases,"Brand Strategy,Brand Design.","Manufacturing,Leisure,Sport","Wordpress site fix,Video Animation,Simply Waste website hosting and maintenance ",3,NaN,10.0,checked
Apparent,"Full service, CX focussed creative agency",,50 or more,"Customer & Business Strategy,Tech & Development,Experience & Design,Media/PR & Events,Advertising/Brand/Creative","CRM Strategy,Experience Strategy,Customer Experience Design,Advertising,Brand Strategy,Social,Creative Production,Digital Campaign Development,Copywriting,Video Prouction,Media Planning/Strategy,Media Buying,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Experiential Marketing,UX/UI Design,Brand Design,Graphic Design,Mobile App Development,Web Development,CRM Implementation,Martech Consulting","Creative & Production,Social & Content,Media Buying",Australia,Sydney,,0,"80% female leadership, most of their work is international (Google for example).  Broad range of services - genuinely swiss army knife.",,,,0,NaN,NaN,checked
Arktic Fox,Arktic Fox is a digital & eCommerce advisory and training organisation,,1-9,,,CRM & Loyalty,,,,0,,,,,0,NaN,NaN,checked
Armadillo,CRM. Unleashed.,,50 or more,"Customer & Business Strategy,Advertising/Brand/Creative","CRM Strategy,Loyalty Strategy,Brand Strategy,Creative Production,Digital Campaign Development",CRM & Loyalty,UK,Bristol,,0,,"CRM Execution,Contact Strategy,Customer Data Strategy",,,0,NaN,NaN,checked
Ayo Banton,"Creative and content agency, adept at leading multi-faceted digital beauty campaigns.",,1-9,"Advertising/Brand/Creative,Tech & Development","Advertising,Brand Strategy,Social Media (Strategy/Content/Management),Creative Production,Digital Campaign Development,Blockchain / Web 3",Video Production,UK,London,,0,,"Animation,Print,Copywriting.,Graphic Design.,Photography,Blockchain art",,Book design and production ,1,NaN,NaN,
Balmer Agency,Digital Marketing Agency,,10-19,"Media/PR & Events,Advertising/Brand/Creative","Media Strategy/Planning,media Buying,SEO & SEM,Digital Performance Marketing,Social & Influencer Marketing,Brand Strategy,Social,Creative Production,Digital Campaign Development,Copywriting,Video Production","Social & Content,Digital Marketing,Media Buying",Australia,"Melbourne,Sydney",,0,,,,"Paid performance media set-up and campaign mgmt,SEO Site Migration and Performance Campaign",2,8.0,NaN,checked
bbp,"We delivering marketing solutions that drive evolution, power sales and spark business growth",,10-19,"Advertising/Brand/Creative,Media/PR & Events","Brand Design,Brand Strategy,Copywriting,Creative Production,Software Development,Web Development",Brand.,UK,London,,0,,"Brand Strategy,Brand Design.",,EV Location Partner Campaign,1,5.0,NaN,
Bearjam,BearJam created Bold Powerful Video,,10-19,Advertising/Brand/Creative,"Video Production,Creative Production",Video Production,UK,London,,0,,"Animation,Film.,Social & Content",,,0,NaN,NaN,
Beesting Digital,"Evidence-based copywriting to attract, educate, engage and convert","Access to outsourced team of content writers, strategists and SEO specialists, ready when you are.",1-9,"Media/PR & Events,Advertising/Brand/Creative","Copywriting,Social Media (Strategy/Content/Management),SEO & SEM,Digital Performance Marketing",Campaign Activation,UK,London,,0,,"Copywriting.,SEO",FS,,0,NaN,NaN,checked
Behind Login,We do deep dive competitor research to help our clients maintain and grow their competitive advantage,"Behind the login, helping businesses to understand their competitors' digital experiences through qualitative user research and analysis of digital platforms",1-9,Data/ Insight & Research,Research Tools,Research & Insight,UK,Bristol,,0,Experts in research to help with web & mobile optimisation,"Quant.,Qual.,Quant Platform","Financial Services,Fintech,Insurance",,0,NaN,NaN,
Big Tent Strategy,"Insight, Brand Strategy & Experience Design",Growing Brands With Empathy,2,"Customer & Business Strategy,Experience & Design","Proposition Design,Customer Strategy,Business Strategy,Service Design,UX/UI Design",Brand.,UK,London,,0,"Director-level team of insight specialists, strategists, semioticians and experience designers with a passion for doing work that matters without hierarchies getting in the way",Brand Strategy,"FMCG,Retail,Financial Services,Technology,Telco",,0,NaN,NaN,
Blicx,Consumer Market Research in Gaming & Youth Markets,Help you understand the WHY behind Gamer & Consumer Motivations,1-9,"Data/ Insight & Research,Customer & Business Strategy","Segmentation,Sustainability Strategy,Future Trends,Data Analysis & Insights",Research & Insight,UK,London,DW Personas,1,Experts in research in Gaming & Youth Markets,"Quant.,Qual.,Segmentation","Gaming,Entertainment,FMCG,Retail,Esports","DW Personas,Jaguar Web Configurator Research Brief",2,NaN,8.0,checked
Blood Orange Film,"Creative video production company, based in West London.",,1-9,Advertising/Brand/Creative,"Creative Production,Video Production",Video Production,UK,London,,0,"High quality video production for consumer products with experience in automotive, food and beverage","Film.,Photography","Automotive,Food,Alcohol & Beverage",Private Bank Video and Content,1,NaN,NaN,
Blue Feathers,We work with ambitious marketing leaders and their teams to help them navigate established brands through complex and competitive markets.,Specialists in brand strategy and proposition development,10-19,"Experience & Design,Advertising/Brand/Creative","Brand Strategy,Proposition Design",Innovation & Strategy,UK,"London,Ludlow","Marketing team coaching,Marketing Team Coaching",2,They're passionate about helping people and brands succeed,Proposition Design,"Insurance,Financial Services,Waste Management,Education","Marketing team coaching,Prop Dev (EV and CC Insurance),""Retail Brand Positioning
"",Marketing Team Coaching",4,8.0,10.0,checked
blueegg ,,blueegg is an Experience Design “UX” Agency based in Sydney. We utilise our unique scientific methodology to deliver evidence-based insights to improve the experience of users.,6,"Data/ Insight & Research,Experience & Design","Qual,Quant,Data Analysis & Insights,UX/UI Design","UX/UI Design,Research & Insight",Australia,Sydney,,0,UX research and design agency with experience in public sector,"UX/UI,Local Government","Public Sector,Telecoms,Education",UX Prototyping,1,NaN,NaN,
Boost Awards,We are the world’s first and largest award entry consultancy.,,10-19,,,Public Relations,,,"""Awards applications x5
""",1,,,,"""Awards applications x5
""",1,NaN,NaN,
Braidr Limited,"Data technology company specialising in data strategy, warehousing, analytics and data science.",,20-49,Data/ Insight & Research,"Data Storytelling/Visualisation,Dashboarding & Measurement,Customer Data Platforms",Data Strategy,UK,London,,0,,"Data Strategy,Data Architecture,Data Analytics,Data Science",,,0,NaN,NaN,checked
Bread Agency,"Social media agency making content people want to watch, share and shop.",,1-9,,,"Research & Insight,Creative & Production,Social & Content",,,,0,,,,,0,NaN,NaN,
Bridge Studio,We build brands and experiences for organisations that want to make a positive impact on the world.,,2,"Experience & Design,Tech & Development,Advertising/Brand/Creative","Software Development,UX/UI Design",Web & Mobile Design,Spain,Madrid,,0,,"UX & UI,UX Research",,UX Improvement,1,NaN,NaN,
Brothers & Sisters,Our work is more famous than we are,,20-49,"Advertising/Brand/Creative,Media/PR & Events","Creative Production,Advertising,Digital Campaign Development","Brand Strategy,Creative & Production,Social & Content",UK,Whitechapel,,0,,,,,0,NaN,NaN,
