Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
UX 2 month Resourcing,UX/UI Design,Aegon,3. Started,Low (1-5 hours),Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,
GI Retained Squad,UX/UI Design,Aviva,3. Started,High (10+ hours),"Hedgehog Lab,xDesign",Hedgehog Lab,,,,,,,,,,
DW Customer Strategy,Social & Content,Aviva,3. Started,Low (1-5 hours),GH05T Ltd.,GH05T Ltd.,,,,,,,,,,
DW Media Buying ,Media Buying,Aviva,3. Started,Low (1-5 hours),GH05T Ltd.,GH05T Ltd.,,,,,,,,,,
Expert Videos x5 Bristol,Creative & Production,Aviva,3. Started,Low (1-5 hours),,Viewpoint Studios,,,,,,,,,,
Expert Videos x5 London,Creative & Production,Aviva,3. Started,Low (1-5 hours),"SAND visuals,Shoreditch Design Studio",Shoreditch Design Studio,,,,,,,,,,
Climate  Report,Copywriting,Aviva,3. Started,Low (1-5 hours),Reed Words,Reed Words,,,,,,,,,,
Aviva Award Entries,Copywriting,Aviva,3. Started,Low (1-5 hours),Reed Words,Reed Words,,,,,,,,,,
Aviva Social Media Team,Social & Content,Aviva,3. Started,Low (1-5 hours),"GH05T Ltd.,Buddy Media",GH05T Ltd.,Andrew Fox,,,,,,,,,
SHIRO customer journeys ,UX/UI Design,Aviva,3. Started,,Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,
One Aviva Video,Creative & Production,Aviva,3. Started,Low (1-5 hours),Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,
Escape Room Norwich,Spatial & Event Design,Aviva,3. Started,Low (1-5 hours),Innovate Live,Innovate Live,,,,,,,,,,
Prop Dev (EV and CC Insurance),Proposition Design,AXA,3. Started,Medium (5-10 hours),"Blue Feathers,Daughter Studio,CreateFuture",Daughter Studio,"""Shih Hoon, Yong""",,,,,,,,,
"Awards applications x5
",PR & Communications,AXA,3. Started,Low (1-5 hours),"Boost Awards,Reed Words",Boost Awards,,,,,,,,,,
"Website design & build
",Software Development,Global Sisters,3. Started,High (10+ hours),"Akcelo,SLIK,Future Friendly,Apparent,Tobias",Apparent,,,,,,,,,,
Lighthouse program,Training,Google,3. Started,High (10+ hours),"How To Impact,Slingshot,Innovation Media",How To Impact,,,,,,,,,,
Private Bank Video and Content,Creative & Production,HSBC,3. Started,Medium (5-10 hours),"Blood Orange Film,Shoreditch Design Studio",Shoreditch Design Studio,,,,,,,,,,
