Brief,Category,Clients,Status,Lead,Level of effort,Start date,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback,End date,Region,Reason for matching
Adivsor Messaging,Copywriting,Aviva,Opportunity Abandoned,Paul Bowman,,17/5/2023,Reed Words,,,,,,,,,,,,,,
Biffa Corporate Event Support ,Spatial & Event Design,Biffa,1. Matching,Hannah Fraser,,5/6/2023,"Innovate Live,Experience,The Park",,,,,,,,,,,,,,
3 Yr OneApp UX/UI Deal,UX/UI Design,JLR,1. Matching,Hannah Fraser,,1/8/2023,The Bang,,,,,,,,,,,,,,
Project Trident,UX/UI Design,Phoenix,1. Matching,Peter Sayburn,,29/5/2023,"xDesign,Shoreditch Design Studio",,,,,,,,,,,,,,
UX Design System,UX/UI Design,Phoenix,1. Matching,Peter Sayburn,,12/6/2023,xDesign,,,,,,,,,,,,,,
Store 8 - Food Creative,Creative & Production,Walmart,Opportunity Abandoned,David Cowser,,15/5/2023,,,,,,,,,,,,,,,
Brand Refresh,Brand Strategy,Auspaynet,1. Matching,Kate Walker,,3/7/2023,"Cocogun,Houston Group,Principals",Houston Group,"Amelia Pridham (and team),Amelia Pridham (and team)",,,,,,,,,,,AUS,
Protection proposition exploration,Proposition Design,Aviva,2. Contracting,Paul Bowman,Low (1-5 hours),22/5/2023,"Good Innovation,UNPITCHD",UNPITCHD,,,,,,,,,,,23/6/2023,UK,
Generative AI,UX/UI Design,Aviva,1. Matching,Paul Bowman,,12/6/2023,xDesign,,,,,,,,,,,,,,
Digital Claims ,CX Journey,AXA,2. Contracting,Peter Sayburn,Medium (5-10 hours),16/5/2023,"Oxara London,Secret Source Marketing",Secret Source Marketing,,,,,,,,,,,7/7/2023,UK,
Rebrand & Research,Brand Strategy,British Sugar,1. Matching,Peter Sayburn,,22/5/2023,"I-AM,Manifest Group,Daughter Studio",,,,,,,,,,,,,,
"Chat & Chatbot 
",CX Journey,CFS,Brief Abandoned,Robin Scarborough,,8/5/2023,VERSA AGENCY,,,,,,,,,,,,,,
Corporate Website Design + Build,Software Development,D&G,1. Matching,Hannah Fraser,,5/6/2023,"Shoreditch Design Studio,OHMY,Solace Digital",,,,,,,,,,,,,,
Product Vision Video,Video,Fenergo,1. Matching,George Patten,,25/5/2023,"Shoreditch Design Studio,Hatch Films CIC,Josephmark",,,,,,,,,,,,,,
SEO - Legal Services,SEO & PPC,Fletchers Solicitors,1. Matching,Peter Sayburn,,5/6/2023,"Three Whiskey,Croud",,,,,,,,,,,,,,
HSBC Creative Resource,Social & Content,HSBC,1. Matching,Paul Bowman,,29/5/2023,GH05T Ltd.,,,,,,,,,,,,,,
JLR Research: Better By Design Insights Project,Research & Insight,JLR,Brief Abandoned,Hannah Fraser,,29/5/2023,"2CV,The Nursery Research & Planning Ltd",,,,,,,,,,,,,,
Panthera OneApp Ongoing UX/UI Support,UX/UI Design,JLR,Opportunity Abandoned,Hannah Fraser,,1/6/2023,Nimbletank,,"Oliver Tuley,Oliver Tuley",,,,,,,,,,,,
Acuity Magazine Podcast Series,Creative & Production,News Corp (Aus),1. Matching,Kate Walker,,15/5/2023,Ampel,,,,,,,,,,,,,,
Company Director Podcast Series,Creative & Production,News Corp (Aus),2. Contracting,Kate Walker,,15/5/2023,Ampel,Ampel,,,,,,,,,,,,AUS,
Skin Care Brief ,Marketing Planning,Superdrug,1. Matching,Hannah Fraser,,12/6/2023,"Launch Studio,Frontier,Fun Agency Ltd",,,,,,,,,,,,,,
Brand positioning,Research & Insight,TotalEnergies,1. Matching,Gideon Hyde,Medium (5-10 hours),29/5/2023,"2CV,Verve,Flume,The Nursery Research & Planning Ltd",,"James Turner,James Turner,James Turner,James Turner",,,,,,,,,,,UK,
Social Media Support - Initial Trial,Social & Content,Biffa,2. Contracting,Hannah Fraser,Medium (5-10 hours),24/4/2023,NMD+,NMD+,,,,,,,,,,,30/6/2023,UK,
OneApp UX/UI Design Extension,UX/UI Design,JLR,2. Contracting,Hannah Fraser,High (10+ hours),1/6/2023,The Bang,The Bang,,,,,,,,,,,29/12/2023,UK,
"MA Financial Website Build - extension sprint 1
",Software Development,MA Financial Group,2. Contracting,Robin Scarborough,,20/7/2023,PALO IT,PALO IT,,,,,,,,,,,,AUS,
Vehicle health product,Marketing Planning,Protective Life,2. Contracting,David Cowser,,27/4/2023,"Matic Digital,Josephmark",Matic Digital,,,,,,,,,,,,US,
UX 2 month Resourcing,UX/UI Design,Aegon,3. Started,Gideon Hyde,Low (1-5 hours),17/4/2023,Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,,16/6/2023,UK,
GI Retained Squad,UX/UI Design,Aviva,3. Started,Phil Kohler,High (10+ hours),4/7/2022,"Hedgehog Lab,xDesign",Hedgehog Lab,,,,,,,,,,,7/7/2023,UK,
DW Customer Strategy,Social & Content,Aviva,3. Started,Paul Bowman,Low (1-5 hours),12/9/2022,GH05T Ltd.,GH05T Ltd.,,,,,,,,,,,31/3/2023,UK,
DW Media Buying ,Media Buying,Aviva,3. Started,Paul Bowman,Low (1-5 hours),1/12/2022,GH05T Ltd.,GH05T Ltd.,,,,,,,,,,,1/3/2023,UK,
Expert Videos x5 Bristol,Creative & Production,Aviva,3. Started,Paul Bowman,Low (1-5 hours),8/2/2023,,Viewpoint Studios,,,,,,,,,,,14/4/2023,UK,
Expert Videos x5 London,Creative & Production,Aviva,3. Started,Paul Bowman,Low (1-5 hours),20/2/2023,"SAND visuals,Shoreditch Design Studio",Shoreditch Design Studio,,,,,,,,,,,14/4/2023,UK,
Climate  Report,Copywriting,Aviva,4. Finished,Paul Bowman,Low (1-5 hours),29/3/2023,Reed Words,Reed Words,,,,,,,,,,,28/4/2023,UK,
Aviva Award Entries,Copywriting,Aviva,4. Finished,Paul Bowman,Low (1-5 hours),20/4/2023,Reed Words,Reed Words,,,,,,,,,,,28/4/2023,UK,
Aviva Social Media Team,Social & Content,Aviva,3. Started,Paul Bowman,Low (1-5 hours),24/4/2023,"GH05T Ltd.,Buddy Media",GH05T Ltd.,Andrew Fox,,,,,,,,,,31/10/2023,UK,
SHIRO customer journeys ,UX/UI Design,Aviva,3. Started,Peter Sayburn,,30/4/2023,Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,,15/5/2023,UK,
One Aviva Video,Creative & Production,Aviva,3. Started,Paul Bowman,Low (1-5 hours),3/5/2023,Shoreditch Design Studio,Shoreditch Design Studio,,,,,,,,,,,,UK,
Escape Room Norwich,Spatial & Event Design,Aviva,4. Finished,Paul Bowman,Low (1-5 hours),3/5/2023,Innovate Live,Innovate Live,,,,,,,,,,,5/5/2023,UK,
Prop Dev (EV and CC Insurance),Proposition Design,AXA,3. Started,Phil Kohler,Medium (5-10 hours),19/9/2022,"Blue Feathers,Daughter Studio,CreateFuture",Daughter Studio,"""Shih Hoon, Yong""",,,,,,,,,,28/4/2023,UK,
"Awards applications x5
",PR & Communications,AXA,3. Started,Phil Kohler,Low (1-5 hours),13/2/2023,"Boost Awards,Reed Words",Boost Awards,,,,,,,,,,,31/8/2023,UK,
"Website design & build
",Software Development,Global Sisters,3. Started,Robin Scarborough,High (10+ hours),13/3/2023,"Akcelo,SLIK,Future Friendly,Tobias",,,,,,,,,,,,,AUS,
Lighthouse program,Training,Google,3. Started,Robin Scarborough,High (10+ hours),13/2/2023,"How To Impact,Slingshot,Innovation Media",How To Impact,,,,,,,,,,,,AUS,
Private Bank Video and Content,Creative & Production,HSBC,3. Started,Peter Sayburn,Medium (5-10 hours),20/2/2023,"Blood Orange Film,Shoreditch Design Studio",Shoreditch Design Studio,,,,,,,,,,,30/6/2023,UK,
Social Media - Pride Birmingham event coverage,Social & Content,HSBC,3. Started,Paul Bowman,Medium (5-10 hours),21/3/2023,"Nonsensical,Buddy Media",Nonsensical,,,,,,,,,,,12/6/2023,UK,
UX/UI Retained Squads,UX/UI Design,JLR,3. Started,Hannah Fraser,High (10+ hours),19/9/2022,"Shoreditch Design Studio,Hedgehog Lab,The Bang",The Bang,"""Jack, Tom, Daryl, Charlotte"",""Jack, Tom, Daryl, Charlotte"",""Jack, Tom, Daryl, Charlotte""",,,,,,,,,,31/5/2023,UK,
Panthera App Experience Design Vision,Strategic Design,JLR,3. Started,Hannah Fraser,High (10+ hours),20/3/2023,"CreateFuture,xDesign,Nimbletank,Shoreditch Design Studio",Nimbletank,Oliver Tuley,,,,,,,,,,31/5/2023,UK,
JLR FS CX Vision,Strategic Design,JLR,3. Started,Hannah Fraser,High (10+ hours),17/4/2023,"CreateFuture,OHMY,Loomery",Loomery,,,,,,,,,,,30/6/2023,UK,
"Retail Brand Positioning
",Brand Strategy,L&G,3. Started,Hannah Fraser,High (10+ hours),27/3/2023,"Studio Something,2050London,Daughter Studio,Blue Feathers,MB&a,Manifest Group",Daughter Studio,"L&G Team,L&G Team,L&G Team",,,,,,,,,,30/11/2023,UK,
Paid performance media set-up and campaign mgmt,Digital Marketing,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),7/11/2022,"Balmer Agency,Shines Digital,In Marketing We Trust",In Marketing We Trust,,,,,,,,,,,,AUS,
SEO Site Migration and Performance Campaign,Digital Marketing,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),7/11/2022,"In Marketing We Trust,Balmer Agency,Shines Digital",In Marketing We Trust,,,,,,,,,,,,AUS,
MA Financial Website Build,Software Development,MA Financial Group,3. Started,Robin Scarborough,High (10+ hours),21/11/2022,PALO IT,PALO IT,,,,,,,,,,,,AUS,
Brand refresh,Brand Strategy,MA Financial Group,3. Started,Kate Walker,Medium (5-10 hours),12/12/2022,Houston Group,Houston Group,,,,,,,,,,,,AUS,
Experiment capability & 2x prop experiments,Proposition Design,News Corp (Aus),3. Started,Robin Scarborough,High (10+ hours),30/9/2022,"How To Impact,IE",How To Impact,,,,,,,,,,,,AUS,
Website copy,Copywriting,Oxford Properties,3. Started,Paul Bowman,Medium (5-10 hours),23/1/2023,"Reed Words,infogr8 Ltd,Catch the Sun Communications",Reed Words,"Matt Stephen ,Matt Stephen ,Matt Stephen ",,,,,,,,,,10/3/2023,UK,
Front End Web Design ,UX/UI Design,Oxford Properties,3. Started,Paul Bowman,Medium (5-10 hours),23/1/2023,"Shoreditch Design Studio,Akcelo,xDesign",Shoreditch Design Studio,,,,,,,,,,,10/3/2023,UK,
"Pulse ph 1
",Proposition Design,TAL,3. Started,Robin Scarborough,Medium (5-10 hours),13/2/2023,Path Ventures,Path Ventures,,,,,,,,,,,,AUS,
"Product Design - Pulse 
",UX/UI Design,TAL,3. Started,Robin Scarborough,Medium (5-10 hours),13/3/2023,"Raw.Studio,Wonderful",Wonderful,,,,,,,,,,,,AUS,
