Agency,Why we love the agency...
2050London,"Led by Adam Morriosn, 2050London are a brilliant creative and advertising agency from London that truly believes in the power of Big Creative Thinking. So, if you want to shake things up with your creative and cut through, check out their work with NHS. Oooffft!"
2CV,"A multi-award winning market research agency that's delivered over 12k projects around the world. They have an amazing toolkit of approaches to tackle any challenge, from tried and tested qualitative or quantitative techniques to cutting edge methods. That's why companies like Coca Cola, Sky and Vodafone turn to to them for their research needs."
44 Digital,"Led by Alan Coates, 44 Digital is a new kind of digital agency that specialises in helping HR teams deliver innovative Digital Workplace experiences for their employees. We love their specialism because too often the critical work HR teams must deliver are often supported by agencies without employee engagement expertise!"
Above+Beyond,"Led by visionary founder Zaid Al-Zaidy, Above & Beyond are an independent integrated creative agency, truly built for the audience age.
We think they’re one of the best at optimising through funnel activation - just check out their work with Subway. And in terms of their delivery, the clue is in their name."
"ADAMAPP, LTD.","Led by founder Radek Stejskal, ADAMAPP’s numbers speak for themselves.100+Digital products launched. 80 experts in their team. 35m Users of their digital products. Check out their work with Tesco Mobile!"
Airview Productions,"Led by founder Joe Stapleton, Airview Productions is the video production company that Uber turns to. They can help you with projects from branded content to corporate videos. You have to check out their work with ShapeShifter. Just brilliant!"
AlignAlytics,"Led by Roger Ayres, AlignAlytics are specialist data business that enhance their clients analytics and decision making capabilities to solve tangible business problems."
Apadmi,"Adapami is a leading mobile first design agency out of London, Edinburgh and Utrech with over 200+engineers in house. We love the work that they have delivered for SailGP & F1 champion Sebastian Vettel."
Apex1,"Led by founder Jamie Smith, Apex 1 is A boutique full service design and brand consultancy that can cover all bases, with great design chops and incredibly creative back-end solutions."
Armadillo,"Led by Joanna Penn, Armadillo are specialists in CRM from strategy to execution. We think they are one of the best in their field. But don’t take our word for it, they’ve been working with McDonalds as their strategic CRM partner for years. The proof is in the Big Mac!"
Ayo Banton,"Led by the mercurial founder Ayo Banton, Banton Digital have developed their craft to another level. They work with some of the world’s most iconic brands such as L'oreal and Clinique to stand out in a crowded marketplace. His creativity is only matched by his humbleness!"
bbp,Studiospace we love specialist agencies . Bbp is led by Adrian Nicholls and he has built an award-winning B2B marketing agency from London. Working with B2B companies such as Worldpay.
Bearjam,"Led by founder Tristan, Bearjam are a brilliant video production company for the digital age, who create live action and animated content for some of the biggest and best brand from McDonalds to Revolut."
Beesting Digital,"Led by Heather Murray, Beesting offer instant, expert content strategy and writing services. If you simply want beautifully written copy, then get in touch with them now."
Behind Login,"Led by the brilliant Ollie Lane, Behind Login is a specialist agency that focuses on market and competitor analysis. Product teams love their unique capability that allows them to get behind the data and insight for what makes a great customer experience."
Big Tent Strategy,"Director-level team of insight specialists, strategists, semioticians and experience designers with a passion for doing work that matters without hierarchies getting in the way."
Blicx,"Led by the husband and wife team Malin & Phil, Blicx is a cutting edge market research agency that was born in gaming but now supporting clients across multiple sectors."
Blood Orange Film,"High quality video production for consumer products with experience in automotive, food and beverage."
Blue Feathers,"Founded by the amazing Susie Partridge, Blue Feathers are a strategic Brand Strategy and Proposition Design Agency. What separates them is the fact that Susie had a very successful corporate career prior to Blue Feathers, so they really understand what it takes to get things done in a big company!"
Boost Awards,"We just love specialist agencies like Boost. So when you think about awards, think about Boost. As the world’s first and largest awards entry consultancy, Boost Awards can help your team enter and win the right business awards."
